id,symbol,company_name,security_type,event_start_date,event_end_date,peak_date,price_start,price_peak,price_end_3d,return_1d_pct,return_3d_pct,return_peak_pct,label_a,label_b,day_after_continuation,volume_event_day,volume_avg_20d_pre,volume_ratio,shares_outstanding,float_shares,market_cap_pre,short_interest_shares,short_pct_float,days_to_cover,sector,industry,exchange,ipo_date,days_since_ipo,catalyst_summary,news_count_event_day,options_available,iv_pre_event,call_oi_pre,put_oi_pre,taxonomy_bucket,taxonomy_confidence,taxonomy_notes,data_source,created_at
31,BBIG,"Vinco Ventures, Inc.",common,2024-02-12T00:00:00,2024-02-15T00:00:00,2024-02-15T00:00:00,0.01,0.035,0.035,180.0,250.0,250.0,1,0,0.0,7892.0,28823.75,0.27,13000000.0,11665321.0,130000.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967220
37,BBIG,"Vinco Ventures, Inc.",common,2024-10-21T00:00:00,2024-10-24T00:00:00,2024-10-24T00:00:00,0.0003,0.001,0.001,233.33,233.33,233.33,1,0,0.0,4733.0,5213.35,0.91,13000000.0,11665321.0,3899.9999999999995,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967224
25,BBIG,"Vinco Ventures, Inc.",common,2023-09-05T00:00:00,2023-09-08T00:00:00,2023-09-08T00:00:00,0.08,0.3,0.26,62.7,225.0,275.0,1,0,0.0,106578.0,35861.95,2.97,13000000.0,11665321.0,1040000.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967216
22,BBIG,"Vinco Ventures, Inc.",common,2021-01-15T00:00:00,2021-01-21T00:00:00,2021-01-21T00:00:00,19.454,127.8792,62.035,196.1,218.88,557.34,1,1,1.0,15797959.0,18783.95,841.03,13000000.0,11665321.0,252902000.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967210
59,HKD,AMTD Digital Inc.,adr,2022-09-09T00:00:00,2022-09-14T00:00:00,2022-09-14T00:00:00,61.0,287.0,189.42,311.78,210.52,370.49,1,0,0.0,1609400.0,27790.0,57.91,197023250.0,43990309.0,12018418250.0,1981056.0,0.0101,2.38,Technology,Software - Application,NYQ,,,"IPO $7.80 to $2,555, no clear catalyst, SEC scrutiny",,0,,,,penny_stock_pump,0.9,"Seed list: IPO $7.80 to $2,555, no clear catalyst, SEC scrutiny",yfinance,2026-03-26T20:29:16.447879
73,NVAX,"Novavax, Inc.",common,2024-05-09T00:00:00,2024-05-14T00:00:00,2024-05-14T00:00:00,4.47,15.0,13.48,2.82,201.57,235.57,1,0,0.0,56549400.0,3803750.0,14.87,162935945.0,140468708.0,728323674.15,48625229.0,0.29950002,10.07,Healthcare,Biotechnology,NMS,,,COVID vaccine candidate,,1,,,,biotech_catalyst,0.9,Seed list: COVID vaccine candidate,yfinance,2026-03-26T20:29:16.923474
46,BBIG,"Vinco Ventures, Inc.",common,2025-09-10T00:00:00,2025-09-15T00:00:00,2025-09-12T00:00:00,0.0001,0.0003,0.0003,0.0,200.0,200.0,1,0,1.0,2371.0,2298.75,1.03,13000000.0,11665321.0,1300.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967228
60,HKD,AMTD Digital Inc.,adr,2022-12-30T00:00:00,2023-01-05T00:00:00,2023-01-05T00:00:00,10.0,37.72,29.95,199.5,199.5,277.2,1,0,0.0,40151600.0,307120.0,130.74,197023250.0,43990309.0,1970232500.0,1981056.0,0.0101,2.38,Technology,Software - Application,NYQ,,,"IPO $7.80 to $2,555, no clear catalyst, SEC scrutiny",,0,,,,penny_stock_pump,0.9,"Seed list: IPO $7.80 to $2,555, no clear catalyst, SEC scrutiny",yfinance,2026-03-26T20:29:16.447881
62,ISPC,iSpecimen Inc.,common,2025-09-04T00:00:00,2025-09-09T00:00:00,2025-09-09T00:00:00,0.67,3.18,1.94,159.71,189.55,374.63,1,0,0.0,131317900.0,1279255.0,102.65,9771016.0,9770833.0,6546580.720000001,3073818.0,0.3146,0.18,Healthcare,Diagnostics & Research,NCM,,,"Low float squeeze, COVID testing demand",,0,,,,short_squeeze,0.9,"Seed list: Low float squeeze, COVID testing demand",yfinance,2026-03-26T20:29:16.523507
29,BBIG,"Vinco Ventures, Inc.",common,2023-12-19T00:00:00,2023-12-22T00:00:00,2023-12-21T00:00:00,0.007,0.02,0.02,100.0,185.71,185.71,1,0,0.0,33259.0,23134.9,1.44,13000000.0,11665321.0,91000.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967219
